tid,name,weight,field_title,field_x_label,field_y_label,field_insight,field_pmt_insight,field_insight2,field_information,field_paragraph
170019,coverage1,19,,Coverage (%),Deciles,"<p>The figure presents the simulated coverage of the <b>[[selected_schemes]]</b> by welfare deciles. Simulations indicate that <b>[[20011_labelIdValue]]</b> per cent of the total population are likely to benefit directly or indirectly from the scheme(s). Across welfare deciles, coverage ranges from <b>[[20001_labelIdValue]]</b> per cent in the lowest decile (i.e., poorest 10%) to <b>[[20010_labelIdValue]]</b> per cent in the highest decile (i.e., richest 10%).</p>","<p>Means-tested programmes often apply a proxy means test to determine eligibility. The selected coverage determines that only households with <b>[[personText]] aged [[ageText]] years</b> with a household consumption expenditure below <b>[[currency]] [[exclusionCurrency]]</b> per month per capita are eligible. Once applying a regression-based proxy means test that target the <b>bottom [[pmtPercent]] percent</b>, up to <b>[[exclusionPercent]]%</b> of <b>eligible [[personText]]</b> are likely to be excluded from the programme due to targeting errors. For more information about the applied proxy means test, see the Methodology page.</p>","<p>The figure depicts the simulated coverage by welfare deciles and location after the introduction of <b>[[selected_schemes]]</b>. Simulations indicate that between <b>[[20011_10002_labelIdValueTypeIdValue]]</b> per cent of the total urban population to <b>[[20011_10003_labelIdValueTypeIdValue]]</b> per cent of the total rural population are likely to benefit directly or indirectly from the <b>[[selected_schemes]]</b>. Across welfare deciles, coverage will range from <b>[[20001_10003_labelIdValueTypeIdValue]]</b> in the lowest decile in rural areas to <b>[[20010_10003_labelIdValueTypeIdValue]]</b> in the lowest highest decile in rural areas.</p>","<p>Data source is <b>[[country]]</b> obtained from <b>[[country_source]]</b>.</p>
<p>When “targeted” eligibility criteria is selected (instead of the “universal” option), the results of simulated coverage offer insight of the size of the inclusion and exclusion errors by welfare deciles. Inclusion errors refer to the inclusion of recipients who should not be eligible according to the proxy means test, but despite this receive the benefits. Exclusion errors on the other hand refer to those individuals who, according to the means test, should be included but (typically recipients living in poorer households), but do not receive the benefit. Calculating inclusion and exclusion errors can be done by comparing coverage among eligible recipients under “universal” and “targeted” scenarios.</p>",
170020,coverage2,20,,Coverage (%),Household Type,<p>The figure presents the simulated coverage of <b>[[selected_schemes]]</b> by different household types. It shows the coverage from <b>[[minVal]]</b> per cent of <b>[[minValLabel]]</b> to <b>[[maxVal]]</b> per cent of <b>[[maxValLabel]]</b>.</p>,,<p>The figure shows the simulated impact of the <b>[[selected_schemes]]</b> on coverage by different household types and location. It shows the coverage from <b>[[10003_minValOnlyValueType]]</b> per cent of <b>[[10003_minValOnlyValueTypeLabel]]</b> to <b>[[10003_maxValOnlyValueType]]</b> per cent <b>[[10003_maxValOnlyValueTypeLabel]]</b> in rural areas.</p>,"<p>Data source is <b>[[country]]</b> obtained from <b>[[country_source]]</b>.</p>
<p>When “targeted” eligibility criteria is selected (instead of the “universal” option), the results of simulated coverage offer insight of the size of the inclusion and exclusion errors by welfare deciles. Inclusion errors refer to the inclusion of recipients who should not be eligible according to the proxy means test, but despite this receive the benefits. Exclusion errors on the other hand refer to those individuals who, according to the means test, should be included but (typically recipients living in poorer households), but do not receive the benefit. Calculating inclusion and exclusion errors can be done by comparing coverage among eligible recipients under “universal” and “targeted” scenarios.</p>",
170021,coverage3,21,,,,"<p>The data table shows the share of population covered before and after reforms. Existing schemes are included in the pre-reform coverage calculation.
In [[country]], <b>[[20021_10005_labelIdValueTypeIdValue]]</b> per cent of the population is covered by introducing the <b>[[selected_schemes]]</b> while only <b>[[20020_10005_labelIdValueTypeIdValue]]</b> per cent of the whole population was covered before.</p>",,,"<p>Data source is <b>[[country]]</b> obtained from <b>[[country_source]]</b>.</p>
<p>When “targeted” eligibility criteria is selected (instead of the “universal” option), the results of simulated coverage offer insight of the size of the inclusion and exclusion errors by welfare deciles. Inclusion errors refer to the inclusion of recipients who should not be eligible according to the proxy means test, but despite this receive the benefits. Exclusion errors on the other hand refer to those individuals who, according to the means test, should be included but (typically recipients living in poorer households), but do not receive the benefit. Calculating inclusion and exclusion errors can be done by comparing coverage among eligible recipients under “universal” and “targeted” scenarios.</p>",
170022,expenditure0,22,Simulated change in household expenditure per capita (% change),Increase in per capita consumption expenditure (%),Schemes,"<p>The ﬁgure presents the simulated change in household consumption expenditure for the whole population by scheme(s) and welfare deciles. In response to selected scheme(s), simulations indicate an increase in per capita consumption expenditure by <b>[[20011_labelIdValue]]</b> per cent on average in total population. Across welfare deciles, consumption boost will range from <b>[[20001_labelIdValue]]</b> per cent in the lowest welfare decile (i.e., poorest 10%) to <b>[[20010_labelIdValue]]</b> per cent in the highest welfare decile (i.e., richest 10%).</p>",,,"<p>Data source is <b>[[country]]</b> obtained from <b>[[country_source]]</b>.</p>
<p>In this section, simulated increase in household consumption (i.e., household expenditure per capita) is presented relative to the current situation. It shows by how much household consumption would increase if individuals were provided the proposed benefits without taking away any of the existing ones. Keeping existing benefits reduces chances of error by avoiding additional assumptions on the existing schemes. It also avoids confusion by preventing users to obtain negative impacts when simulating schemes that are less generous than those already in place.</p>
<p>In Overview, the consumption impact is presented for the poorest and richest 10% in the distribution of household expenditure per capita. In more detailed view, users can see the impact for the entire distribution.</p>",
170023,expenditure1,23,,Increase in per capita consumption expenditure (%),Deciles,"<p>The ﬁgure shows the simulated increase in household consumption expenditure for the whole population by welfare deciles in response to <b>[[selected_schemes]]</b>. Simulations indicate an increase in per capita consumption expenditure by <b>[[20011_labelIdValue]]</b> per cent on average. Across welfare deciles, consumption boost will range from <b>[[20001_labelIdValue]]</b> per cent in the lowest welfare (poorest) decile, to <b>[[20010_labelIdValue]]</b> per cent in the highest welfare (richest) decile.</p>",,"<p>The ﬁgure shows the simulated increase in household consumption expenditure of the whole population by welfare deciles and location in response to <b>[[selected_schemes]]</b>. Simulations indicate an increase in per capita consumption expenditure by <b>[[20011_10003_labelIdValueTypeIdValue]]</b> per cent on average in rural areas. Across welfare deciles, increases will range from <b>[[20001_10003_labelIdValueTypeIdValue]]</b> per cent in the lowest welfare (poorest) decile in rural areas, to <b>[[20010_10003_labelIdValueTypeIdValue]]</b> per cent in the highest welfare (richest) decile in rural areas.</p>
","<p>Data source is <b>[[country]]</b> obtained from <b>[[country_source]]</b>.</p>
<p>In this section, simulated increase in household consumption (i.e., household expenditure per capita) is presented relative to the current situation. It shows by how much household consumption would increase if individuals were provided the proposed benefits without taking away any of the existing ones. Keeping existing benefits reduces chances of error by avoiding additional assumptions on the existing schemes. It also avoids confusion by preventing users to obtain negative impacts when simulating schemes that are less generous than those already in place.</p>
<p>In Overview, the consumption impact is presented for the poorest and richest 10% in the distribution of household expenditure per capita. In more detailed view, users can see the impact for the entire distribution.</p>",
170024,expenditure2,24,,Increase in per capita consumption expenditure (%),Deciles,"<p>The ﬁgure shows the simulated increase in household consumption expenditure among the recipient households by welfare deciles in response to <b>[[selected_schemes]]</b>. Simulations indicate an increase in per capita consumption expenditure by <b>[[20011_labelIdValue]]</b> per cent on average. Across welfare deciles, increases will range from <b>[[20001_labelIdValue]]</b> per cent in the lowest welfare (poorest) decile, to <b>[[20010_labelIdValue]]</b> per cent in the highest welfare (richest) decile.</p>",,"<p>The ﬁgure shows the simulated increase in household consumption expenditure among the recipient households by welfare deciles and location in response to <b>[[selected_schemes]]</b>. Simulations indicate an increase in per capita consumption expenditure by <b>[[20011_10003_labelIdValueTypeIdValue]]</b> per cent on average in rural areas. Across welfare deciles, increases will range from <b>[[20001_10003_labelIdValueTypeIdValue]]</b> per cent in the lowest welfare (poorest) decile in rural areas, to <b>[[20010_10003_labelIdValueTypeIdValue]]</b> per cent in the highest welfare (richest) decile in rural areas.</p>
","<p>Data source is <b>[[country]]</b> obtained from <b>[[country_source]]</b>.</p>
<p>In this section, simulated increase in household consumption (i.e., household expenditure per capita) is presented relative to the current situation. It shows by how much household consumption would increase if individuals were provided the proposed benefits without taking away any of the existing ones. Keeping existing benefits reduces chances of error by avoiding additional assumptions on the existing schemes. It also avoids confusion by preventing users to obtain negative impacts when simulating schemes that are less generous than those already in place.</p>
<p>In Overview, the consumption impact is presented for the poorest and richest 10% in the distribution of household expenditure per capita. In more detailed view, users can see the impact for the entire distribution.</p>",
170025,expenditure3,25,,Increase in per capita consumption expenditure (%),Household type,"<p>The ﬁgure shows the simulated increase in household consumption expenditure among recipient households, by diﬀerent household types. Simulations indicate an average increase in per capita consumption expenditure from <b>[[minVal]]</b> per cent for <b>[[minValLabel]]</b> to <b>[[maxVal]]</b> per cent for <b>[[maxValLabel]]</b>.</p>",,"<p>The ﬁgure shows the simulated increase in household consumption expenditure among recipient households, by diﬀerent household types and location. Simulations indicate an average increase in per capita consumption expenditure from <b>[[10003_minValOnlyValueType]]</b> per cent for <b>[[10003_minValOnlyValueTypeLabel]]</b> to <b>[[10003_maxValOnlyValueType]]</b> per cent for <b>[[10003_maxValOnlyValueTypeLabel]]</b> in rural areas.</p>","<p>Data source is <b>[[country]]</b> obtained from <b>[[country_source]]</b>.</p>
<p>In this section, simulated increase in household consumption (i.e., household expenditure per capita) is presented relative to the current situation. It shows by how much household consumption would increase if individuals were provided the proposed benefits without taking away any of the existing ones. Keeping existing benefits reduces chances of error by avoiding additional assumptions on the existing schemes. It also avoids confusion by preventing users to obtain negative impacts when simulating schemes that are less generous than those already in place.</p>
<p>In Overview, the consumption impact is presented for the poorest and richest 10% in the distribution of household expenditure per capita. In more detailed view, users can see the impact for the entire distribution.</p>",
170026,sectionCompare1,26,Poverty Reduction by Benefit Scheme (% change),Poverty Reduction (% change),Schemes,"<p><b>Poverty rate</b> measured at national poverty line would decrease in <b>Scenario A</b> by <b>[[s1_value]]%</b> and <b>Scenario B</b> by <b>[[s2_value]]%</b> following the selected scheme(s).</p>
<p>Selected scheme(s) can reduce poverty in <b>[[s1_country]] (Scenario A)</b> by <b>[[s1_value]]%</b> and in <b>[[s2_country]] (Scenario B)</b> by <b>[[s2_value]]%</b>.</p>",,,,
170027,sectionCompare2,27,Inequality Reduction by All Schemes (% change),Gini index (% change),Schemes,"<p><b>Inequality</b> as measured by GINI coefficient would decrease in <b>Scenario A</b> by <b>[[s1_value]]%</b> and Scenario B by <b>[[s2_value]]%</b>.</p>
<p>The reduction in inequality is much less pronounced in <b>[[compare_base_countries]] [[baseValue]]%</b> reduction in Gini index.</p>",,,,
170028,sectionCompare3,28,"Cost as % of GDP, by scheme (% ), 2022",Cost as % of GDP,Schemes,The <b>cost</b> of selected scheme(s) reach <b>[[s1_value]]%</b> of GDP in <b>[[s1_country]] (Scenario A)</b> and <b>[[s2_value]]%</b> in <b>[[s2_country]] (Scenario B)</b>,,,,
170029,sectionCompare4,29,Coverage (Total Deciles) of Schemes (share of whole population),Coverage (Total Deciles),Schemes,"<p>The scheme(s) would provide coverage in <b>Scenario A</b> by <b>[[s1_value]]%</b> of the whole population and <b>Scenario B</b> by <b>[[s2_value]]%</b> of the whole population.</p>
<p>Universal schemes ensure that all eligible people are covered. This leads to majority of households benefiting.</p>",,,,
170030,sectionCompare5,30,"Change in Household Expenditure (per capita, %) (Lowest Deciles)",Increase in per capita,Schemes,"Among recipient households, expenditure per capita can increase by <b>[[s1_value]]%</b> in <b>[[s1_country]] (Scenario A)</b> for poorest households. The increase is <b>[[s2_value]]%</b> in <b>[[s2_country]] (Scenario B)</b>.",,,,
170031,scPoverty0,31,Poverty Reduction by Benefit Scheme (% change),Poverty Reduction (% change),Schemes,"<p><b>Poverty rate</b> measured at national poverty line would decrease in <b>Scenario A</b> by <b>[[s1_value]]%</b> and <b>Scenario B</b> by <b>[[s2_value]]%</b> following the selected scheme(s).</p>
<p>Selected scheme(s) can reduce poverty in <b>[[s1_country]] (Scenario A)</b> by <b>[[s1_value]]%</b> and in <b>[[s2_country]] (Scenario B)</b> by <b>[[s2_value]]%</b>.</p>",,,,
170032,scPoverty1,32,,Poverty Reduction (% change),Schemes,"Simulated national poverty rate reduction after the introduction of the programme(s), by poverty lines and Scenarios",,,,
170033,scPoverty2,33,,Poverty Reduction (% change),Schemes,"Simulated national poverty rate reduction after the introduction of the programme(s), by poverty lines and Scenarios",,,,
170034,scPoverty3,34,,Poverty Reduction (% change),Schemes,"Simulated national poverty gap reduction after the introduction of the programme, by poverty lines and Scenarios",,,,
170035,scPoverty4,35,,Poverty Reduction (% change),Schemes,"Simulated national poverty gap reduction after the introduction of the programme, by poverty lines and Scenarios",,,,
170036,scInequality0,36,Inequality Reduction by All Schemes (% change),Gini index (% change),Schemes,"<p><b>Inequality</b> as measured by GINI coefficient would decrease in <b>Scenario A</b> by <b>[[s1_value]]%</b> and Scenario B by <b>[[s2_value]]%</b>.</p>
<p>The reduction in inequality is much less pronounced in <b>[[compare_base_countries]] [[baseValue]]%</b> reduction in Gini index.</p>",,,,
170037,scInequality1,37,,Gini index (% change),Schemes,"The figure shows the inequality reduction as measured by the Gini coefficient, the Palma ratio, and the Quintile ratio of Scenarios.",,,,
170038,scCost0,38,"Cost as % of GDP, by scheme (% ), 2022",Cost as % of GDP,Schemes,The <b>cost</b> of selected scheme(s) reach <b>[[s1_value]]%</b> of GDP in <b>[[s1_country]] (Scenario A)</b> and <b>[[s2_value]]%</b> in <b>[[s2_country]] (Scenario B)</b>,,,,
170039,scCost1,39,,Year,Scenarios,"This figure shows how much it would cost to implement the simulated programme(s), year by year, from 2022 to 2031. The estimates do not account for the country’s current expenditure on social protection. If a country already provides non-contributory schemes similar to those simulated, the cost projections do not refer to the additional resources needed to implement the proposed scheme(s) but to the total resources, including those that are already being spent on the existing schemes. The figure also highlights a few of the possible ﬁnancing streams that can make the proposed simulated programmes aﬀordable. For more information on sustainable financing options, see “How to finance inclusive social protection”. The tool uses data on economic growth and population projections sourced from IMF and UN DESA from 2019.",,,,
170040,scCost2,40,,Year,Scenarios,,,,,<p>Simulations indicate that the <b>[[selected_schemes]]</b> would require an initial budget equivalent to <b>[[currentYearValue]] per cent of [[country]]’s total government revenue in [[currentYear]]</b>.</p>
170041,scCost3,41,,Functional expenses as % of GDP,,,,,,
170042,scCost4,42,,Cost as % of GDP,Schemes,,,,,"<p>An alternative approach is to raise government revenues by increasing income and corporate taxes. In <strong>[[country]]</strong> the highest personal income tax bracket is taxed <strong>[[20052_labelIdValue]] per cent</strong> of their gross income and capital gains, and corporate tax rate is <strong>[[20053_labelIdValue]] per cent</strong> of gross profits and capital gains. The total cost of the scheme(s) as percentage of tax revenue from income, profits and capital gains is <strong>[[20054_labelIdValue]] per cent</strong>. This illustrates how much more additional tax revenue government would need to raise to fully fund the initial levels of investments. Alternatively, raising income and corporate taxes along with ensuring tax compliance can help with resource mobilization and decrease the cost of the programme as a share of government revenue.</p>"
170043,scCoverage0,43,Coverage (Total Deciles) of Schemes (share of whole population),Coverage (Total Deciles),Schemes,"<p>The scheme(s) would provide coverage in <b>Scenario A</b> by <b>[[s1_value]]%</b> of the whole population and <b>Scenario B</b> by <b>[[s2_value]]%</b> of the whole population.</p>
<p>Universal schemes ensure that all eligible people are covered. This leads to majority of households benefiting.</p>",,,,
170044,scCoverage1,44,,Coverage (%),Deciles,"Simulated coverage of direct and indirect recipients among national population, by consumption expenditure deciles and Scenarios",,,,
170045,scCoverage2,45,,Coverage (%),Household Type,"Simulated coverage of direct and indirect recipients among national population, by household structure and Scenarios",,,,
170046,scCoverage3,46,,,,,,,,
170047,scExpenditure0,47,"Change in Household Expenditure (per capita, %) (Lowest Deciles)",Increase in per capita,Schemes,"Among recipient households, expenditure per capita can increase by <b>[[s1_value]]%</b> in <b>[[s1_country]] (Scenario A)</b> for poorest households. The increase is <b>[[s2_value]]%</b> in <b>[[s2_country]] (Scenario B)</b>.",,,,
170048,scExpenditure1,48,,Increase in per capita,Deciles,"Simulated increase in household consumption expenditure among national population, by consumption expenditure deciles and Scenarios",,,,
170049,scExpenditure2,49,,Increase in per capita,Deciles,"Simulated increase in household consumption expenditure among recipients, by consumption expenditure deciles and Scenarios",,,,
170050,scExpenditure3,50,,Increase in per capita,Household type,,,,,