tid,name,field_lat,field_long,field_region
160001,Afghanistan,33.82513149,65.98371654,SSWA
160002,Armenia,40.28096895,44.91053563,NCA
160003,Australia,-25.74177109,134.4728675,Pacific
160004,Azerbaijan,40.2787767,47.52602735,NCA
160005,Bangladesh,23.8583947,90.21935846,SSWA
160006,Bhutan,27.40280703,90.38530502,SSWA
160007,Brunei Darussalam,4.510600456,114.7001445,SEA
160008,Cambodia,12.71240061,104.891231,SEA
160009,China,36.55253528,103.8013984,ENEA
160010,Cook Islands,-21.22724869,-159.8092781,Pacific
160011,Georgia,42.16078196,43.48278222,NCA
160012,"Hong Kong, China",22.3961912,114.1019319,ENEA
160013,Indonesia,-2.226680254,117.2406936,SEA
160014,"Iran, Islamic Republic of",32.56521826,54.25678383,SSWA
160015,Japan,37.58124458,138.0112785,ENEA
160016,Kazakhstan,48.14765621,67.27249926,NCA
160017,Kiribati,1.100061975,-164.955405,Pacific
160018,"Korea, Republic of",36.37660918,127.8226783,ENEA
160019,Kyrgyzstan,41.45203776,74.5239247,NCA
160020,Lao People's Democratic Republic,18.4930987,103.7193771,SEA
160021,Malaysia,3.77990519,109.68609,SEA
160022,Maldives,3.600679586,73.42723242,SSWA
160023,Marshall Islands,6.549826417,170.5161562,Pacific
160024,"Micronesia, Federated States of",7.104590154,155.7574234,Pacific
160025,Mongolia,46.81787689,103.0366282,ENEA
160026,Myanmar,21.17927543,96.47187372,SEA
160027,Nauru,-0.522778,166.931503,Pacific
160028,Nepal,28.24053821,83.89433938,SSWA
160029,New Zealand,-41.81853238,172.6461117,Pacific
160030,Pakistan,29.94256937,69.32404667,SSWA
160031,Papua New Guinea,-6.47264867,145.1965381,Pacific
160032,Philippines,11.76622348,122.8632691,SEA
160033,Russian Federation,61.97079921,99.56008667,NCA
160034,Singapore,1.35146113,103.8005874,SEA
160035,Solomon Islands,-8.92224448,159.607529,Pacific
160036,Sri Lanka,7.605746561,80.68377192,SSWA
160037,Tajikistan,38.52056929,70.99960074,NCA
160038,Thailand,15.11391208,100.9861527,SEA
160039,Timor-Leste,-8.838046529,125.8339555,SEA
160040,Tonga,-20.42430839,-174.7951806,Pacific
160041,TÃ¼rkiye,39.05372705,35.14886757,SSWA
160042,Turkmenistan,39.10611081,59.35436648,NCA
160043,Tuvalu,-7.478442,178.679921,Pacific
160044,Uzbekistan,41.74530816,63.12702446,NCA
160045,Vanuatu,-16.2348485,167.6666832,Pacific
160046,Viet Nam,16.64069895,106.2809875,SEA
160047,Samoa,-13.76316519,-172.1791311,Pacific
160048,Fiji,-17.43668432,178.4585564,Pacific
160049,India,22.87874934,79.59244751,SSWA
160050,Palau,7.489870745,134.5446568,Pacific