country,def,econ,educ,envir,gen,health,house,safety,culture,socprot,income_t,corporate_t,tax_burden
Armenia,6.273984726,2.029967167,2.822220983,0.337780369,4.884591294,2.404236147,0.323824036,2.44968544,0.671935504,8.872535201,22,18,22.2
Bangladesh,1.007652645,2.694901449,2.037457104,0.246984241,3.951804504,0.613169041,0.179225747,,,1.104078193,25,32.5,8.8
Bhutan,,7.03280996,7.425140567,,9.745025001,3.750829531,1.683049596,,,3.434003272,6.4,30,12.3
Cambodia,4.061008122,1.533914016,2.870241812,,3.041340716,1.674072726,,,,1.166978689,20,20,19.7
Cook Islands,,6.791816163,3.276117112,1.538404369,15.13164743,3.222571579,0.875932876,1.799038398,0.449645186,5.0049056,30,28,29.8
Georgia,1.851147591,6.600802593,4.376177857,0.71244825,3.708384483,3.673878442,1.625843443,2.997965999,1.171175614,9.552083949,20,15,19.6
India,2.75086597,10.9865591,4.906119025,0.021041453,4.891498992,1.593965828,2.425587548,1.765566494,0.173933892,2.321900414,42.74,30,12
Indonesia,0.886824956,3.038032367,3.004762541,0.234164665,5.287267049,1.72693839,1.039830163,1.096088081,0.134868353,2.010630189,30,22,9.8
Kiribati,,40.94708809,12.35263595,1.628860504,26.77615387,11.00412813,,5.134600439,,1.323021213,30,35,24.9
Kyrgyzstan,3.302700839,0.839067359,6.631542372,,4.180020897,2.869248379,0.862987108,,,5.703813829,10,10,16.9
Lao,,,,,,,,,,,25,35,10
Maldives,2.374739027,14.95359703,5.712777423,1.059351601,4.823242617,7.478657453,2.197882718,4.409598395,1.048004685,5.888648316,3.96,15,9.1
Marshall Islands,15.2115483,0,3.547770763,12.3949471,3.972035214,0.256474651,11.48453299,0.097570413,15.98162338,1.471180659,10,3,17.2
Mongolia,0.962922471,1.06865807,3.294282472,,6.427304557,5.687829492,0.026960416,1.655101742,0.547181608,12.56164763,10,25,16.8
Myanmar,2.851100373,3.30619368,0.562500558,8.674450649,0.035549514,0.880934698,0.879856855,0.206842322,1.995216496,0.925142615,25,22,6.4
Nepal,1.271906823,5.508527886,1.006485791,0.215317335,11.81433519,1.026789512,0.809738712,1.324845731,0.174953589,1.70808751,30,30,19.8
Pakistan,2.8864186,0.2332332,0.2623389,0.0035472,8.6002238,0.0373903,0.0070742,0.3449506,0.0342764,0.0066496,35,29,5.9
Philippines,0.951543507,3.593403335,3.858722721,0.124159169,9.790027753,1.141646135,0.041214662,1.337930962,0.023698431,2.351811645,35,30,14.5
Sri Lanka,1.458326697,4.31366407,1.756281823,,6.999581362,2.188871771,2.639506557,0.643640548,,,18,24,11.6
Thailand,1.401173673,3.685515234,3.104837144,0.070346465,7.894152361,1.424835666,0.326151791,1.338501368,0.386905556,5.655855758,35,20,14.6
Turkey,1.3474588,3.3484849,3.3939785,0.025502,7.0503887,1.4258776,0.2722814,2.1089854,0.4498733,5.9201683,40,20,16.5
Viet Nam,,0.6266906,0.6200965,0.0379385,0.8331305,0.3215743,,,0.0508196,1.5034142,35,20,16.9