Country,cpi11,cpi_sy,cpi21,ppp11,usd,iff2014,iff2005_2014,govrev2021,nationalpline,gdp2021,gdpgrowth,currency
Armenia,242.403,290.817,305.792,165.63,525.2204718,1296.21568,10046.74874,23.396,44048,6434.476,0.01614568,AMD
Bangladesh,161.692,227.444,298.953,24.73,87.26113888,8972.02039,75149.03204,9.231,2268,30795.154,0.02888005,BDT
Bhutan,150.012,224.933,262.035,17.04,74.0125,0,328.3421169,24.935,2195.95,183.551,0.019121741,BTN
Cambodia,143.835,177.428,188.321,1493.25,4154.16748,46.52009466,1093.29039,23.113,173000,113155.368,0.025091319,KHR
Cook Islands,94,99.9,101.707,1.589,1.517909432,,,26.06,149.79,0.5754,0.022735133,NZD
Georgia,108.543,114.665,145.911,0.84,3.297036441,1486.808603,15266.53046,25.258,141.272,53.29,0.021342815,GEL
India,99.075,99.075,172.899,15.28,74.9175638,21103.68317,183654.5462,19.262,912.1493,228476.394,0.03301055,INR
Indonesia,71.943,96.813,107.059,3892.22,14176.8721,13922.44043,173773.7804,12.405,375013.5,16427918.39,0.022317251,IDR
Kiribati,126.74,125.538,130.918,1.066,1.294372294,0,42.78801821,0.324,86.85581,0.299,0.009120512,AUD
Kyrgyzstan,116.636,153.931,179.689,16.3,87.14230254,0,1075.968017,32.784,2722.9,650.953,0.019581624,KGS
Maldives,78.463,99.505,99.493,8.81,15.40873016,488.5104767,1469.583376,26.713,2364.365,69.894,0.046294257,MVR
Mongolia,66.7,112.258,131.627,580.64,2912.564533,129.1483927,1345.356366,29.226,150271.5781,41454.531,0.024056445,MNT
Nepal,71.888,100.006,138.423,25.74,117.1714056,0,5248.44345,21.226,2446.473,4228.013,0.020059051,NPR
Pakistan,72.873,98.602,141.001,25.5,158.7779368,23.25860109,4011.113073,15.751,2954.007,45778.226,0.017023433,PKR
Philippines,96.942,120.167,127.525,18.77,49.59997318,7639.724658,88732.19078,18.213,2204.4416,19970.834,0.027694829,PHP
Sri Lanka,88.9,111.692,141.343,42.99,191.5921899,915.6968994,16606.47042,10.616,4166,16195.671,0.017473196,LKR
Thailand,91.65,99.297,100.427,12.76,30.15426694,17574.1376,144960.2925,21.072,2700,16245.159,0.016263317,THB
Turkey,189.946,418.236,533.469,1.15,7.583775314,12292.47266,124008.9817,28.247,641.5125122,6025.537,0.017104079,TRY
Viet Nam,198.341,248.051,293.073,7528.39,23805.1476,12203.80869,88916.85676,15.902,969167,8447685.117,0.028652246,VND