Country,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
Georgia,0.005787075,0.019540246,0.004574826,0.012477513,0.004019926,0.005313287,0.004501125,0.005807304,0.009002276,0.010935103,0.025934086,0.014328201,0.003484713,0.010689857,0.022027663,0.005957088,0.011712326,0.028384781,0.025568205,0.006616812,0.018312491,0.014870273,0.020443645,0.015339507,0.00834462,0.013132135,0.020634518,0.012678359,0.022526503,0.015544875,0.01554683,0.015552345,0.022909144,0.010029758,0.021230003,0.017839785,0.010437369,0.035064307,0.011575524,0.012224164,0.039320087,0.08008757,0.034097224,0.045604138,0.08115728,0.044970651,0.036748167,0.054589702,0.037487418,0.036869384,0.057982682,0.040583347,0.052029789,0.041140719,0.072438096,0.043214682,0.080891069,0.047807612,0.045773489,0.056409657,0.023992031,0.044768662,0.066813833,0.02223091,0.017000011,0.022931113,0.018012824,0.033166011,0.011635988,0.001853912,0.102584853,0.002564165,0.068112569,0.012520249,0.012520646,0.020477448,0.039728533,0.027511614,0.034542814,0.066689742,0.046989525,0.040737992,0.042207689,0.027400028,0.007263245,0.022467485,0.037673428,0.004939982,0.159317204,0.206899518,0.214049049,0.214049049,0.214049049,0.214049049,0.214049049,0.214049049,0.214049049,0.214049049,0.214049049,0.214049049,0.214049049
India,0.00608879,0.014595596,0.007176734,0.013800859,0.010616866,0.00998861,0.007739878,0.009298041,0.002080959,0.004401805,0.002481414,0.006095922,0.007143317,0.002808581,0.005014877,0.006373578,0.00979797,0.004455497,0.005615174,0.005797272,0.007198195,0.004881155,0.006839114,0.005561043,0.003816709,0.003432485,0.005558308,0.00564886,0.00811636,0.007109089,0.005932625,0.007780097,0.004684958,0.007511341,0.011114844,0.007343676,0.006655374,0.007879768,0.009435522,0.006151227,0.017715089,0.020788168,0.010361399,0.010251613,0.011990953,0.015261953,0.011907502,0.013039813,0.015776934,0.017067081,0.022761361,0.026542536,0.024574364,0.027373548,0.022285657,0.037631654,0.035367182,0.040519214,0.02537494,0.042266108,0.057996691,0.055965234,0.064746639,0.045340802,0.069946923,0.080620497,0.090950726,0.104322782,0.092823324,0.099802053,0.125939943,0.128601788,0.108151302,0.151948584,0.132651059,0.151417504,0.166707953,0.14678756,0.224827082,0.103362837,0.231855831,0.305866905,0.277670834,0.280643336,0.234585944,0.307459098,0.192197671,0.192955649,0.348109162,0.327829315,0.304878272,0.304878272,0.304878272,0.304878272,0.304878272,0.304878272,0.304878272,0.304878272,0.304878272,0.304878272,0.304878272
Indonesia,0.002603977,0.002571188,0.002900484,0.003092165,0.003055709,0.009878792,0.00845984,0.008596011,0.009485159,0.009262664,0.009456498,0.009551852,0.009451097,0.009564033,0.009029851,0.009292362,0.009634838,0.008363791,0.012794629,0.013612685,0.014566849,0.012961191,0.014126834,0.01394504,0.014002352,0.01389804,0.014075721,0.014477893,0.013987037,0.014943072,0.013714679,0.023126722,0.022505297,0.024644383,0.022838967,0.02398287,0.023392834,0.022678703,0.022703881,0.0225692,0.023337301,0.021580802,0.023789683,0.023860337,0.024421891,0.023684606,0.024869087,0.025051742,0.023124987,0.024620308,0.025157082,0.023775077,0.023709593,0.023946165,0.024214555,0.024522276,0.026300978,0.024789305,0.021938443,0.026418043,0.122410051,0.12018821,0.12300566,0.122789065,0.123554696,0.124046567,0.119077941,0.123025922,0.12623182,0.114833939,0.120377073,0.126784699,0.108039321,0.114371964,0.114093189,0.107678725,0.112350612,0.117379227,0.108174256,0.106681937,0.113396976,0.122277767,0.134782762,0.123123703,0.125947471,0.140400935,0.132073702,0.140586117,0.114723339,0.124534603,0.119852821,0.119852821,0.119852821,0.119852821,0.119852821,0.119852821,0.119852821,0.119852821,0.119852821,0.119852821,0.119852821
Kyrgyzstan,0.0068747,0.0014897,0.0089459,0.0103423,0.0069815,0.010318,0.002851,0.0036626,0.0128011,0.0024542,0.0105759,0.0037275,0.0091183,0.0034544,0.0148063,0.009826,0.0072911,0.0074235,0.0048521,0.0020559,0.0102146,0.0128574,0.0218988,0.013307,0.0104381,0.0111775,0.0101484,0.0125822,0.0137977,0.0195037,0.0273813,0.0056216,0.0061168,0.0227218,0.0163585,0.0039198,0.0032105,0.0036517,0.016434,0.0041223,0.0054557,0.0894716,0.048,0.0391703,0.0549939,0.0500739,0.0891276,0.0564077,0.0563058,0.0418411,0.0640561,0.0628795,0.0696335,0.0646165,0.0455133,0.1014202,0.0771375,0.0522918,0.0668953,0.0366021,0.0857065,0.1007316,0.0401693,0.118953,0.0976871,0.0238958,0.1003616,0.0611136,0.0574843,0.0727981,0.0851687,0.0566718,0.0598965,0.0132323,0.0413015,0.1250425,0.0596641,0.1495547,0.0765946,0.0949935,0.0401994,0.0343693,0.0185248,0.0138233,0.2521794,0.0567086,0.0957914,0.1330105,0.1559013,0.215348178,0.220682756,0.220682756,0.220682756,0.220682756,0.220682756,0.220682756,0.220682756,0.220682756,0.220682756,0.220682756,0.220682756
Lao,0.0027835,0.0027835,0.0027835,0.0027835,0.0027835,0.0027835,0.0032723,0.0051292,0.0022871,0.0017159,0.0034019,0.0073943,0.0074318,0.0023887,0.0023887,0.0010867,0.0087049,0.0109087,0.0035072,0.0035072,0.003688,0.0008254,0.0039207,0.0049484,0.0058462,0.0072652,0.005478,0.0079116,0.0071627,0.0071627,0.0011139,0.0071378,0.001926,0.0078683,0.0062676,0.0043708,0.0028695,0.0073423,0.0123574,0.0011456,0.0011456,0.0086505,0.0089215,0.0025852,0.0143383,0.0234273,0.0086208,0.0217652,0.005334,0.0052594,0.0139072,0.0139072,0.0133173,0.0098225,0.0187641,0.0117472,0.0081536,0.0035996,0.0167197,0.0071789,0.0208146,0.0164028,0.0136241,0.0419999,0.016371,0.0206565,0.0204033,0.074991,0.0260001,0.0537836,0.0342537,0.0267054,0.0757963,0.0819461,0.0530724,0.0587192,0.0121311,0.0521169,0.1108592,0.0998796,0.1892263,0.1517127,0.0805175,0.1210674,0.1450014,0.1051374,0.1735639,0.1014444,0.1266876,0.1972006,0.2508487,0.2508487,0.2508487,0.2508487,0.2508487,0.2508487,0.2508487,0.2508487,0.2508487,0.2508487,0.2508487
Maldives,0.0462124,0.0706543,0.0636462,0.0654681,0.0519088,0.0628362,0.0628137,0.0656852,0.0678202,0.0653277,0.0528769,0.0562474,0.0490872,0.0507154,0.0454026,0.0761893,0.1049009,0.0949407,0.0942177,0.1059384,0.0965878,0.1103796,0.0899667,0.1035253,0.0983967,0.101483,0.0928706,0.1039271,0.0934605,0.0983017,0.0951288,0.1010481,0.0928973,0.098054,0.0988297,0.112765,0.0956611,0.1051719,0.099244,0.1132642,0.0900354,0.0953479,0.1000557,0.0952316,0.1054542,0.0900052,0.0925102,0.0910381,0.0931388,0.0965762,0.3112268,0.2839854,0.2941668,0.3215384,0.2995386,0.3344495,0.2880369,0.3174093,0.3266852,0.2676116,0.2887853,0.3159043,0.3067467,0.2716924,0.2500516,0.2496789,0.3610253,0.3062871,0.2403129,0.2648532,0.2626552,0.2799683,0.2509588,0.2444806,0.2645387,0.2545386,0.2788108,0.2174866,0.2698579,0.2109588,0.2180645,0.2046538,0.1228762,0.2127217,0.1892573,0.1791534,0.1983828,0.2016337,0.1105903,0.1477589,0.1676131,0.1676131,0.1676131,0.1676131,0.1676131,0.1676131,0.1676131,0.1676131,0.1676131,0.1676131,0.1676131
Marshall Islands,0.0110195,0.0110195,0.0110195,0.0110195,0.0110195,0.0110195,0.0098412,0.0327142,0.0261488,0.0009353,0.0856943,0.0076991,0.0178666,0.0037477,0.0130255,0.0129679,0.0129679,0.0023892,0.0329282,0.0029866,0.0221387,0.0160669,0.0398957,0.0398957,0.0403125,0.0403125,0.001299,0.0252292,0.0365042,0.0397353,0.0397353,0.0219749,0.0125581,0.0125581,0.028343,0.1279954,0.0219683,0.0033452,0.0151244,0.0151244,0.0625839,0.0477467,0.0170751,0.0170751,0.0620779,0.0620779,0.042381,0.042381,0.0379606,0.025089,0.0154261,0.0154261,0.090009,0.0294982,0.0294982,0.1335839,0.061223,0.0199723,0.0522744,0.0522744,0.0187532,0.0808239,0.1003771,0.1946751,0.0324276,0.3664888,0.0676493,0.1793144,0.1462847,0.28101,0.28101,0.2414003,0.11082,0.1045973,0.1673088,0.1442142,0.2265152,0.6923219,0.6923219,0.6923219,0.6923219,0.6923219,0.6923219,0.6923219,0.6777405,0.6777405,0.6777405,0.6777405,0.6777405,0.6777405,0.6777405,0.6777405,0.6777405,0.6777405,0.6777405,0.6777405,0.6777405,0.6777405,0.6777405,0.6777405,0.6777405
Mongolia,0.000480588,0.001497716,0.005184872,0.005708599,0.010574274,0.009541223,0.009454381,0.013801214,0.007490318,0.010729472,0.013648191,0.012632557,0.006463061,0.016802465,0.015608334,0.009279859,0.006534589,0.008515518,0.015139049,0.02273356,0.024755294,0.021073252,0.02433218,0.026070384,0.023464984,0.02182477,0.032969528,0.024054651,0.022587496,0.023598974,0.040992355,0.043899559,0.052283407,0.046104129,0.05446619,0.041992969,0.042497649,0.050736107,0.056514779,0.060340053,0.065513532,0.052328359,0.074835317,0.068800096,0.067795178,0.091092219,0.074406734,0.103679168,0.121953762,0.12566166,0.107134554,0.111260505,0.114358432,0.115391684,0.137378407,0.088596155,0.081540243,0.104578268,0.094619748,0.096677623,0.074636461,0.080955595,0.03447983,0.02843585,0.04328272,0.030179357,0.042201006,0.037199267,0.028768874,0.056509845,0.026307288,0.053631592,0.062730334,0.041814539,0.052326328,0.022169476,0.02039844,0.019014969,0.056565966,0.077604929,0.077604929,0.045988955,0.030478129,0.029866803,0.038900015,0.047033354,0.042392894,0.041496986,0.023184219,0.023184219,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308
Myanmar,0.1273395,0.1273395,0.1273395,0.1273395,0.1273395,0.1273395,0.1167171,0.1637068,0.1097874,0.1474027,0.1286933,0.1313332,0.1446796,0.1264169,0.1442551,0.1042585,0.1206529,0.1147078,0.1195452,0.0848182,0.117183,0.1325951,0.1071461,0.112159,0.1463384,0.1135718,0.1113082,0.1441826,0.1696617,0.0846691,0.1401517,0.1247009,0.0879932,0.1046246,0.130118,0.1897282,0.1717604,0.1241088,0.1150314,0.111451,0.1153393,0.0819819,0.1339299,0.1660827,0.0919965,0.1656609,0.1201969,0.1068732,0.1109531,0.1561704,0.0915147,0.1605174,0.106316,0.1350084,0.0768859,0.0964176,0.1596915,0.136261,0.1651475,0.0892598,0.1741564,0.1255954,0.0966337,0.0825875,0.1368593,0.1234119,0.0874748,0.1437794,0.1254554,0.173972,0.0592542,0.1383507,0.1275607,0.1875288,0.2212387,0.1735691,0.0570476,0.1748188,0.0999419,0.0774436,0.0587527,0.0984386,0.110987,0.1564583,0.4871023,0.4871023,0.4871023,0.4871023,0.4871023,0.4871023,0.4871023,0.4871023,0.4871023,0.4871023,0.4871023,0.4871023,0.4871023,0.4871023,0.4871023,0.4871023,0.4871023
Nepal,0.010536174,0.013536009,0.011801443,0.009110905,0.013285739,0.00941753,0.009388559,0.012527888,0.011281445,0.010923964,0.01011937,0.011465183,0.010317585,0.011178567,0.010136876,0.013258528,0.041784077,0.039324886,0.045524427,0.04517325,0.043773175,0.046005104,0.047571304,0.044509743,0.041327653,0.042721233,0.037336003,0.044674845,0.048885781,0.039967475,0.042479969,0.038018993,0.046464499,0.043059846,0.038970655,0.045037633,0.040770457,0.039926566,0.043874838,0.04133825,0.040887609,0.049763322,0.046214516,0.047419397,0.052468286,0.046129496,0.042412381,0.048207229,0.04249022,0.048630047,0.045676832,0.04187458,0.043037855,0.04331018,0.048824156,0.051501647,0.042376069,0.04532945,0.048632269,0.053484996,0.315926934,0.317561577,0.30203307,0.332038612,0.292795781,0.314992164,0.317718968,0.306426717,0.319774444,0.36234666,0.348088777,0.361021644,0.32514576,0.323228012,0.346993414,0.349524576,0.343409215,0.371080981,0.368169855,0.321467073,0.34705406,0.337478737,0.341450081,0.354745502,0.367952818,0.394539424,0.350782263,0.260695939,0.325034905,0.232318047,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742
Pakistan,0.006016785,0.004707496,0.003727093,0.003763369,0.009100983,0.002334094,0.003047755,0.006534585,0.002596594,0.005182471,0.004388675,0.004231837,0.003631121,0.002473739,0.002895345,0.003287237,0.00278736,0.002547146,0.00589432,0.004468555,0.002930559,0.00404267,0.003662847,0.002009899,0.004278551,0.003365689,0.001312323,0.004348316,0.001496763,0.002522839,0.002412782,0.067726774,0.070078417,0.067340313,0.065106755,0.059979636,0.066763349,0.080795809,0.069109432,0.087299136,0.059051862,0.083243788,0.061445792,0.071311782,0.077402832,0.059972873,0.078932417,0.070135897,0.058576207,0.074520061,0.085898878,0.106089073,0.132655393,0.102153844,0.118422958,0.10501283,0.087038945,0.072716898,0.112289795,0.082907805,0.097292228,0.056588185,0.104050059,0.043534019,0.044564438,0.136539768,0.036555567,0.086033993,0.047982984,0.065245385,0.103435896,0.086756872,0.043903009,0.154787225,0.026102858,0.038696344,0.080957585,0.089174501,0.091853014,0.237578688,0.086421256,0.197158956,0.043446484,0.311523203,0.20057582,0.049110443,0.188303759,0.167989529,0.182590347,0.180838629,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365
