Country,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
Philippines,0.014588794,0.01497862,0.012330616,0.012781262,0.013019396,0.013763211,0.010770062,0.010994182,0.011078924,0.011671756,0.011452428,0.012208974,0.012670905,0.010917925,0.014052493,0.011782578,0.011677949,0.013095709,0.011821162,0.013497126,0.01476543,0.013383421,0.013553016,0.014994141,0.011560891,0.014904137,0.017129596,0.016051016,0.01788046,0.019998339,0.019646223,0.019050264,0.016852311,0.019013514,0.015319575,0.013769079,0.016312647,0.01517973,0.015541866,0.016379884,0.020398654,0.021665416,0.017718915,0.014752347,0.013690686,0.01502574,0.019698488,0.01787557,0.018232364,0.019094192,0.031527899,0.03554635,0.031559224,0.027352781,0.026393505,0.041667456,0.039619153,0.033872683,0.032314052,0.042971447,0.044063474,0.040707153,0.046058392,0.049989246,0.045228996,0.090029277,0.087193886,0.079523356,0.084211152,0.080942576,0.089322645,0.079682159,0.089750851,0.09093632,0.098741533,0.092419694,0.096783572,0.097052727,0.101278297,0.095261447,0.084242358,0.047017811,0.031001135,0.023961582,0.014223023,0.029751608,0.027373285,0.046502134,0.035611335,0.052465618,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308,0.077162308
Thailand,0.0034813,0.002705,0.0025724,0.0061859,0.0077205,0.0071569,0.0109007,0.0159245,0.0129097,0.0089921,0.0095677,0.0108213,0.0151895,0.0150051,0.0188839,0.0172017,0.0131838,0.0279326,0.0150227,0.0268898,0.0241574,0.0215132,0.0146814,0.0218028,0.015471,0.0143706,0.015994,0.0291644,0.0148588,0.0221467,0.0169736,0.0288008,0.0186457,0.0135341,0.0230495,0.0171406,0.0240662,0.0192452,0.0341259,0.0317878,0.0203356,0.0275623,0.0199143,0.0210982,0.0220887,0.0281363,0.0271687,0.0236439,0.0235477,0.0275198,0.0259189,0.0264824,0.0262958,0.0306913,0.0276458,0.0327271,0.03098,0.0294878,0.0257994,0.0351345,0.0328953,0.0415628,0.0545561,0.047071,0.0447124,0.0437909,0.0570929,0.0600796,0.0703521,0.065823,0.1124867,0.0652076,0.0828329,0.0966219,0.0844834,0.0872494,0.0965984,0.1224749,0.1018048,0.1518285,0.1475546,0.1558664,0.1247906,0.0886719,0.152935,0.2064737,0.2164347,0.1976858,0.1386279,0.134714,0.2117115,0.2117115,0.2117115,0.2117115,0.2117115,0.2117115,0.2117115,0.2117115,0.2117115,0.2117115,0.2117115
Viet Nam,0.010536174,0.013536009,0.011801443,0.009110905,0.013285739,0.00941753,0.009388559,0.012527888,0.011281445,0.010923964,0.01011937,0.011465183,0.010317585,0.011178567,0.010136876,0.013258528,0.041784077,0.039324886,0.045524427,0.04517325,0.043773175,0.046005104,0.047571304,0.044509743,0.041327653,0.042721233,0.037336003,0.044674845,0.048885781,0.039967475,0.042479969,0.038018993,0.046464499,0.043059846,0.038970655,0.045037633,0.040770457,0.039926566,0.043874838,0.04133825,0.040887609,0.049763322,0.046214516,0.047419397,0.052468286,0.046129496,0.042412381,0.048207229,0.04249022,0.048630047,0.045676832,0.04187458,0.043037855,0.04331018,0.048824156,0.051501647,0.042376069,0.04532945,0.048632269,0.053484996,0.315926934,0.317561577,0.30203307,0.332038612,0.292795781,0.314992164,0.317718968,0.306426717,0.319774444,0.36234666,0.348088777,0.361021644,0.32514576,0.323228012,0.346993414,0.349524576,0.343409215,0.371080981,0.368169855,0.321467073,0.34705406,0.337478737,0.341450081,0.354745502,0.367952818,0.394539424,0.350782263,0.260695939,0.325034905,0.232318047,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742,0.185237742
Bangladesh,0.0251054,0.0295089,0.0224249,0.0232005,0.0104664,0.014184,0.0055433,0.0030561,0.0078341,0.008568,0.0049366,0.0084449,0.005972,0.0061615,0.006741,0.0059657,0.0083972,0.0069203,0.0072437,0.0034472,0.0048112,0.0081551,0.0050438,0.0041893,0.0060893,0.0072686,0.0041532,0.0048362,0.0067084,0.0069917,0.0053328,0.0064971,0.0056166,0.0071757,0.0091682,0.0059338,0.0048429,0.0061436,0.0075849,0.0112113,0.0069643,0.0120741,0.0082818,0.0087012,0.0107965,0.0106008,0.0081406,0.0075157,0.0196326,0.023168,0.0123872,0.0166802,0.030551,0.0280338,0.0120741,0.0248111,0.0617059,0.0190575,0.0527508,0.038762,0.0301268,0.0405353,0.0367234,0.0676138,0.0636255,0.0362437,0.0724543,0.0354758,0.0687216,0.0609234,0.0845868,0.0810747,0.0512153,0.1703797,0.0659149,0.0781922,0.1930716,0.1100744,0.1289628,0.1140708,0.1753955,0.1624469,0.1563022,0.355663,0.206972,0.1706482,0.2386209,0.1669831,0.1352167,0.1646636,0.2169036,0.2169036,0.2169036,0.2169036,0.2169036,0.2169036,0.2169036,0.2169036,0.2169036,0.2169036,0.2169036
Sri Lanka ,0.0128413,0.0137217,0.0140849,0.013077,0.0131997,0.0145743,0.012925,0.0136545,0.0136347,0.0138381,0.0147518,0.0129466,0.0140106,0.013432,0.0134964,0.020523,0.0215111,0.0216458,0.0222356,0.0221359,0.0261393,0.0266884,0.0289945,0.0292017,0.0296766,0.0307776,0.0301317,0.0277976,0.0306504,0.0289961,0.0333682,0.0350091,0.0367293,0.032118,0.0338908,0.0343772,0.0355928,0.0359884,0.033971,0.037462,0.0872735,0.0891657,0.0890086,0.0910693,0.0893339,0.0878425,0.0871129,0.0887895,0.0907054,0.0879652,0.1459163,0.1444794,0.1511585,0.1494672,0.1472761,0.1441055,0.1451656,0.1437123,0.1476087,0.1436333,0.2201339,0.2319243,0.2290564,0.2347251,0.2247937,0.3592975,0.3598729,0.3646418,0.365899,0.3530714,0.3590231,0.3495156,0.3474603,0.3538432,0.3574631,0.3644734,0.3963024,0.4109302,0.4011751,0.4160242,0.3740679,0.4299134,0.4209212,0.4038385,0.4047781,0.3835582,0.3771398,0.3686885,0.3197329,0.3080295,0.2855126,0.2855126,0.2855126,0.2855126,0.2855126,0.2855126,0.2855126,0.2855126,0.2855126,0.2855126,0.2855126
Cambodia,0.011627189,0.015618652,0.013167062,0.014470721,0.012864272,0.013747975,0.01213722,0.014005386,0.013792071,0.013323946,0.013869918,0.013397493,0.012065922,0.01264478,0.014479424,0.015553497,0.022384407,0.023298086,0.023957938,0.024426132,0.025537344,0.026370452,0.026052726,0.026074277,0.023707316,0.024698232,0.024588454,0.026532022,0.026449383,0.026122464,0.027799241,0.033088496,0.034019095,0.033412825,0.034562642,0.033009206,0.031613357,0.035568335,0.035691575,0.037345213,0.039782788,0.053295565,0.044610597,0.044976131,0.051081738,0.046840441,0.048880551,0.049860096,0.049497109,0.051704852,0.075486263,0.074004073,0.079751393,0.078332792,0.079294568,0.083166288,0.079887354,0.075146275,0.080716493,0.075104937,0.1315302,0.13576573,0.131574804,0.132034801,0.123849204,0.140556747,0.152325914,0.146440205,0.141074841,0.150873087,0.166774289,0.156346351,0.147949439,0.160876354,0.149548003,0.157031111,0.171399417,0.173046412,0.179382795,0.178306887,0.170176613,0.186250435,0.160454015,0.198517543,0.197194073,0.183218759,0.188303759,0.167989529,0.182590347,0.180838629,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365,0.18883365
Armenia,0.0015256,0.002045575,0.00527102,0.00653074,0.00828316,0.00828316,0.00756206,0.00715426,0.00589454,0.00322676,0.0063174,0.00901028,0.00940034,0.01354658,0.01588856,0.01592106,0.0149479,0.01621694,0.0137649,0.01584254,0.01392378,0.01670028,0.01274932,0.0146333,0.01021368,0.0138418,0.01487006,0.02017506,0.02041804,0.02632406,0.02880264,0.0256785,0.02245354,0.0254036,0.02994716,0.02813738,0.03273648,0.03719278,0.03307138,0.02737698,0.03155032,0.03223934,0.03211548,0.03613134,0.04225822,0.04747266,0.05346746,0.05933404,0.06317854,0.05938512,0.0596094,0.06066254,0.05776738,0.06606528,0.0772276,0.0910805,0.09690162,0.11039654,0.11250626,0.12656152,0.12913896,0.13037442,0.12567774,0.13032526,0.12426244,0.1199837,0.11950406,0.1182216,0.11441864,0.1076573,0.08941868,0.10144996,0.10010336,0.0978527,0.09507094,0.12027158,0.10788238,0.10882346,0.11040008,0.11296936,0.0983203,0.09556256,0.09664564,0.09244222,0.08678422,0.0672063,0.05699332,0.04538062,0.0393853,0.08675776,0.08675776,0.07877306,0.07187362,0.12097172,0.0749846,0.088033875,0.088033875,0.088033875,0.088033875,0.088033875,0.088033875
Bhutan,0.0008222,0.0015845,0.00327336,0.00559746,0.01544166,0.02158296,0.02753468,0.03179908,0.03356662,0.02566874,0.02129068,0.01594198,0.01114324,0.00820032,0.00742246,0.0063506,0.0058016,0.0058564,0.0070215,0.00856502,0.00983714,0.0110368,0.01115046,0.01073124,0.00924748,0.00877756,0.0078562,0.00754736,0.00785802,0.00966184,0.00926626,0.01077202,0.0112988,0.01215244,0.01250016,0.01487182,0.01618364,0.01583568,0.01561442,0.01671814,0.01663602,0.01529832,0.01572624,0.01628246,0.01543892,0.01559394,0.01823644,0.02088578,0.02306334,0.02555124,0.02921478,0.02923942,0.02972768,0.03219002,0.03735294,0.03381006,0.03717036,0.04339048,0.04410538,0.04339114,0.06074846,0.06715996,0.06892922,0.07361656,0.07735902,0.0734505,0.07910698,0.09013352,0.11097544,0.11389536,0.12473596,0.132675,0.1377823,0.12661976,0.13904692,0.1382702,0.14802926,0.16939336,0.21037978,0.23871308,0.25637442,0.27649646,0.29258174,0.28516256,0.30967206,0.32673678,0.34575288,0.36393378,0.38236842,0.38301542,0.42099826,0.44991482,0.37638118,0.39314534,0.38748685,0.269086925,0.269086925,0.269086925,0.269086925,0.269086925,0.269086925
Kiribati,0.018898875,0.0230183,0.03536186,0.04841528,0.05521386,0.06398042,0.0642051,0.06011308,0.05124512,0.04857486,0.04619596,0.04488968,0.04597714,0.04233956,0.04233676,0.03873238,0.03491226,0.0273104,0.02630902,0.01978536,0.01467854,0.0157175,0.01643394,0.01465794,0.01593362,0.01641152,0.01408842,0.01683872,0.02189438,0.024251,0.02764566,0.03407712,0.03435946,0.03802522,0.0362226,0.03313612,0.03109068,0.03463938,0.02802874,0.02894896,0.03200648,0.03509658,0.03633174,0.04196814,0.04624974,0.0617075,0.0659248,0.06538142,0.07380838,0.0816955,0.07098308,0.07312794,0.08423838,0.0787558,0.07933052,0.09066212,0.11591404,0.1212906,0.1507971,0.18445322,0.18969948,0.17742002,0.17787122,0.16837196,0.19094806,0.2355942,0.26196956,0.29761076,0.33499934,0.3349275,0.33113266,0.34548048,0.36428856,0.39774376,0.40279462,0.39572288,0.42954346,0.38580832,0.35977542,0.40224932,0.3592434,0.39076012,0.55338108,0.59214126,0.47000918,0.50367976,0.52146946,0.3789583,0.36977906,0.50629194,0.57182814,0.49242574,0.5035848,0.49793256,0.4517746,0.31855135,0.31855135,0.31855135,0.31855135,0.31855135,0.31855135
Cook Islands,0.01555876,0.01555876,0.01555876,0.01555876,0.01555876,0.01555876,0.01555876,0.01555876,0.01555876,0.01555876,0.01555876,0.01555876,0.01555876,0.01555876,0.0183916,0.01949084,0.02317494,0.03004782,0.01649294,0.02215098,0.0234203,0.03055072,0.02367784,0.02291416,0.03068294,0.031551,0.02341514,0.02793906,0.0299901,0.0191976,0.02148816,0.03398468,0.0314388,0.03218872,0.02980272,0.0268791,0.0537022,0.0641222,0.06199088,0.06707918,0.07666982,0.04792262,0.04714236,0.04671992,0.04016774,0.02994096,0.020196,0.01063476,0.01067856,0.01198106,0.01153106,0.01177772,0.01839008,0.01890296,0.02033386,0.03091534,0.0285499,0.02575458,0.06115072,0.05680004,0.05108114,0.06915516,0.06328158,0.02584136,0.04314832,0.05610134,0.03663998,0.03663998,0.04317286,0.0287976,0.02988446,0.0446412,0.0446412,0.03810832,0.03517662,0.01475674,0.42954346,0.38580832,0.35977542,0.40224932,0.3592434,0.39076012,0.55338108,0.59214126,0.47000918,0.50367976,0.52146946,0.3789583,0.36977906,0.50629194,0.57182814,0.49242574,0.5035848,0.49793256,0.4517746,0.005860525,0.005860525,0.005860525,0.005860525,0.005860525,0.005860525
Turkey,0.00044028,0.00044028,0.00044028,0.00044028,0.00044028,0.00044028,0.00044028,0.00044028,0.00044028,0.00044028,0.00044028,0.00044028,0.00044028,0.00044028,0.0049539,0.00825326,0.010497,0.01312378,0.01555206,0.01281618,0.01148732,0.01218066,0.01207384,0.0117324,0.0150594,0.01482922,0.01542522,0.01643296,0.01708184,0.014798,0.01681288,0.01622108,0.01518536,0.01552634,0.01497034,0.01568944,0.0169326,0.01880256,0.0215097,0.02217184,0.0210376,0.02127406,0.02047348,0.01669584,0.02114042,0.02106488,0.0201456,0.02196764,0.02458142,0.02132816,0.02449774,0.02519898,0.02524624,0.02378284,0.02491696,0.02822424,0.0277477,0.03225806,0.03505264,0.03542436,0.03223794,0.03824984,0.03754752,0.03945484,0.0401797,0.04170104,0.03690952,0.036588,0.0326712,0.03502516,0.03077244,0.02821744,0.02710736,0.03174462,0.03286516,0.0452941,0.06075676,0.06006514,0.06005096,0.06704426,0.06076496,0.07621664,0.08440638,0.09418042,0.11410934,0.1213899,0.10290386,0.10228216,0.11864366,0.12112728,0.1736992,0.1588792,0.23263184,0.28717362,0.309930275,0.227248225,0.227248225,0.227248225,0.227248225,0.227248225,0.227248225
Micronesia,0.119160924,0.065300605,0.117741227,0.117063884,0.123515568,0.122439912,0.099622723,0.090486865,0.109816506,0.088130455,0.133393108,0.117115974,0.123211498,0.136080547,0.114327757,0.132949243,0.133133414,0.111963994,0.129132546,0.086172975,0.10186104,0.155347037,0.161436647,0.062408543,0.123099561,0.157531081,0.075238943,0.107275844,0.090787951,0.116391471,0.09437475,0.081870856,0.136255444,0.102189716,0.142227093,0.093896093,0.089177676,0.077417048,0.119875809,0.14220139,0.096877089,0.096923721,0.098226129,0.06642257,0.094737037,0.101607807,0.144806814,0.048333784,0.046529758,0.094179279,0.142463677,0.05777037,0.147787076,0.07928842,0.158858353,0.129380695,0.139585752,0.171240834,0.089045166,0.116111058,0.101958663,0.10027927,0.136143299,0.121678885,0.263100122,0.117553033,0.166217422,0.147152014,0.047269404,0.074582617,0.083357655,0.048349179,0.172031443,0.173912033,0.065291286,0.188647425,0.188647425,0.188647425,0.188647425,0.070266652,0.147256733,0.147256733,0.147256733,0.147256733,0.058301548,0.202299076,0.202299076,0.202299076,0.202299076,0.202299076,0.249930898,0.249930898,0.249930898,0.249930898,0.253712757,0.253712757,0.253712757,0.253712757,0.253712757,0.253712757,0.253712757